556		
#1 9		
95000	20	38
100000	21	42
105000	22	44
110000	23	44
115000	23	45
120000	23	46
125000	24	46
130000	27	47
140000	33	52
#2 8		
100000	17	23
105000	18	26
110000	21	27
115000	24	28
120000	24	32
125000	24	33
130000	26	35
140000	28	36
#3 11		
80000	22	32
90000	27	42
95000	29	43
100000	32	44
105000	36	48
110000	39	68
115000	44	72
120000	48	88
125000	52	92
130000	55	104
140000	63	116
#4 11		
80000	51	130
90000	57	140
95000	64	160
100000	73	182
105000	73	186
110000	79	221
115000	85	230
120000	98	250
125000	102	252
130000	118	301
140000	160	430
#5 3		
125000	16	28
130000	22	38
140000	46	60
#6 8		
100000	25	39
105000	25	39
110000	28	42
115000	28	45
120000	31	47
125000	36	52
130000	45	65
140000	58	86
#7 2		
130000	17	32
140000	36	43
#8 11		
80000	34	55
90000	39	62
95000	43	76
100000	44	76
105000	44	82
110000	50	106
115000	53	115
120000	53	116
125000	58	124
130000	69	132
140000	76	164
#9 10		
90000	29	45
95000	30	46
100000	35	53
105000	39	56
110000	42	56
115000	43	64
120000	46	66
125000	47	75
130000	52	92
140000	62	118
#10 3		
125000	18	32
130000	22	36
140000	40	51
#11		
80000	44	88
90000	58	122
95000	61	131
100000	62	136
105000	67	146
110000	70	170
115000	78	188
120000	84	218
125000	94	232
130000	108	280
140000	138	430
#12 8		
100000	28	29
105000	30	33
110000	38	59
115000	45	67
120000	48	72
125000	53	78
130000	59	90
140000	70	108
#13 11		
80000	39	85
90000	43	86
95000	44	99
100000	51	108
105000	54	127
110000	66	138
115000	66	145
120000	68	155
125000	68	155
130000	76	184
140000	104	188
#14 11		
80000	37	83
90000	44	91
95000	48	98
100000	54	110
105000	56	119
110000	62	126
115000	62	132
120000	63	144
125000	76	159
130000	76	175
140000	85	257
#15 10		
90000	32	46
95000	36	48
100000	37	56
105000	42	59
110000	45	64
115000	49	67
120000	50	70
125000	51	73
130000	56	82
140000	61	97
#16 11		
80000	42	64
90000	44	76
95000	44	76
100000	44	76
105000	45	78
110000	51	84
115000	52	90
120000	52	92
125000	55	113
130000	56	115
140000	65	123
#17 11		
80000	37	55
90000	40	65
95000	43	69
100000	43	80
105000	46	83
110000	49	102
115000	51	102
120000	51	110
125000	52	112
130000	68	126
140000	80	219
#18 11		
80000	28	37
90000	33	45
95000	34	55
100000	36	57
105000	37	57
110000	37	59
115000	40	60
120000	46	74
125000	48	81
130000	51	83
140000	58	113
#
